,DistanceToPrev,LineCode,SeqNum,StationCode,StationName,Address.City,Address.State,Address.Street,Address.Zip,Code,Lat,LineCode1,LineCode2,LineCode3,LineCode4,Lon,Name,StationTogether1,StationTogether2
109,2473,SV,9,K02,Clarendon,Arlington,VA,3100 Wilson Blvd,22201,K02,38.886373,OR,SV,,,-77.096963,Clarendon,,
110,2687,SV,10,K01,Court House,Arlington,VA,2100 Wilson Blvd,22201,K01,38.891499,OR,SV,,,-77.08391,Court House,,
111,4936,SV,11,C05,Rosslyn,Arlington,VA,1850 N. Moore Street,22209,C05,38.896595,BL,OR,SV,,-77.07146,Rosslyn,,
112,6993,SV,12,C04,Foggy Bottom-GWU,Washington,DC,2301 I St. NW,20037,C04,38.900599,BL,OR,SV,,-77.050273,Foggy Bottom-GWU,,
113,2783,SV,13,C03,Farragut West,Washington,DC,900 18th St. NW,20006,C03,38.901311,BL,OR,SV,,-77.03981,Farragut West,,
114,2001,SV,14,C02,McPherson Square,Washington,DC,1400 I St. NW,20005,C02,38.901316,BL,OR,SV,,-77.033652,McPherson Square,,
115,2359,SV,15,C01,Metro Center,Washington,DC,607 13th St. NW,20005,C01,38.898303,BL,OR,SV,,-77.028099,Metro Center,A01,
116,1561,SV,16,D01,Federal Triangle,Washington,DC,302 12th St. NW,20004,D01,38.893757,BL,OR,SV,,-77.028218,Federal Triangle,,
117,2016,SV,17,D02,Smithsonian,Washington,DC,1200 Independence Avenue SW,20004,D02,38.888022,BL,OR,SV,,-77.028232,Smithsonian,,
118,2643,SV,18,D03,L'Enfant Plaza,Washington,DC,600 Maryland Avenue SW,20024,D03,38.884775,BL,OR,SV,,-77.021964,L'Enfant Plaza,F03,
119,1757,SV,19,D04,Federal Center SW,Washington,DC,401 3rd Street SW,20024,D04,38.884958,BL,OR,SV,,-77.01586,Federal Center SW,,
120,3052,SV,20,D05,Capitol South,Washington,DC,355 First Street SE,20003,D05,38.884968,BL,OR,SV,,-77.005137,Capitol South,,
121,2703,SV,21,D06,Eastern Market,Washington,DC,701 Pennsylvania Avenue SE,20003,D06,38.884124,BL,OR,SV,,-76.995334,Eastern Market,,
122,3289,SV,22,D07,Potomac Ave,Washington,DC,700 14th Street SE,20003,D07,38.880841,BL,OR,SV,,-76.985721,Potomac Ave,,
