,Lat,Lon,Name,Routes,StopID
6854,39.002377,-76.924453,RHODE ISLAND AVE + CHEROKEE ST,[u'83'],3002341
6855,39.002411,-76.99559,UNIVERSITY BLVD + PATTON DR,"[u'C2', u'C2v2', u'C2v3', u'C4', u'C4c', u'C4cv1', u'C4v3']",2000239
6856,39.002468,-77.03527,GEORGIA AVE + NOYES DR,"[u'J5', u'Q1', u'Q2', u'Q2v2', u'Q4', u'Y2', u'Y7', u'Y8']",2000240
6857,39.002513,-76.972083,RIGGS RD + APACHE ST,"[u'R1', u'R2', u'R2v2']",3002343
6858,39.002766,-76.872459,RIDGE RD + #35 COURT,"[u'G12', u'G12c']",3002345
6859,39.002845,-76.872421,RIDGE RD + #38 COURT,[u'G12'],3002346
6860,39.002968,-76.924453,RHODE ISLAND AVE + CHEROKEE ST,[u'83'],3002347
6861,39.003234,-76.89772,EDMONSTON RD + SPRINGHILL DR,"[u'R12', u'R12v1']",3002348
6862,39.003441,-77.110084,OLD GEORGETOWN RD + OAK PL,"[u'J2', u'J3']",2000242
6863,39.003464,-77.184212,RIVER RD + HARRINGTON DR,[u'T2'],2000243
6864,39.003593,-76.982123,SOUTHAMPTON DR + AMES RD,[u'K6'],3002351
6865,39.003632,-76.789672,LANHAM-SEVERN RD + COWAN AVE,[u'B27'],3002352
6866,39.003653,-76.976685,METZEROTT RD + METZEROTT RD,[u'R1'],3002353
6867,39.003677,-76.897819,EDMONSTON RD + SPRINGHILL DR,"[u'R12', u'R12v1']",3002354
6868,39.003712,-76.930481,BALTIMORE AVE + CHEROKEE ST,"[u'86', u'86v2']",3002355
6869,39.00381,-76.899413,SPRINGHILL DR + LAKESIDE DR,"[u'R12', u'R12v1']",3002357
6870,39.003833,-76.930626,BALTIMORE AVE + CHEROKEE ST,[u'86'],3002358
6871,39.003849,-77.023726,COLESVILLE RD + ROWEN RD,"[u'Z2v4', u'Z2v5', u'Z2vS', u'Z6', u'Z6c', u'Z8', u'Z8c', u'Z8v1', u'Z8v2', u'Z8v3', u'Z8v9']",2000244
6872,39.003867,-76.899001,SPRINGHILL DR + LAKESIDE DR,"[u'R12', u'R12v1']",3002359
6873,39.003867,-76.982322,SOUTHAMPTON DR + AMES RD,[u'K6'],3002360
6874,39.004089,-77.036689,GEORGIA AVE + HIGHLAND DR,"[u'J5', u'J5c', u'Q1', u'Q2', u'Q2cv1', u'Q4', u'Y2', u'Y7', u'Y8']",2000245
6875,39.004142,-77.023781,COLESVILLE RD + ROWEN RD,"[u'Z2v2', u'Z2v4', u'Z2vS', u'Z6', u'Z6v1', u'Z8', u'Z8v1', u'Z8v2', u'Z8v3', u'Z8v4', u'Z8v9']",2000246
6876,39.004168,-76.901381,SPRINGHILL DR + MARKET LN,"[u'R12', u'R12v1']",3002361
6877,39.004192,-76.901199,SPRINGHILL DR + MARKET LN,"[u'R12', u'R12v1']",3002362
6878,39.004272,-76.788527,LANHAM-SEVERN RD + CHURCH LA,[u'B27'],3002363
6879,39.004275,-76.98043,METZEROTT RD + NEW HAMPSHIRE AVE,[u'R1'],3002364
6880,39.004311,-77.037246,GEORGIA AVE + HIGHLAND DR,"[u'J5', u'Q1', u'Q2', u'Q2v2', u'Q4', u'Y2', u'Y7', u'Y8']",2000247
6881,39.004353,-76.982108,SOUTHAMPTON DR + #201,[u'K6'],3002365
6882,39.004787,-76.969414,RIGGS RD + ADELPHI RD,[u'R2'],3002371
6883,39.004886,-76.907677,CHERRYWOOD LN + CHERRYWOOD CT,"[u'C2', u'C2c', u'G14', u'G14c', u'G14v2']",3002372
6884,39.004921,-76.96942,RIGGS RD + ADELPHI RD,"[u'R2', u'R2v2']",3002373
6885,39.004981,-77.187736,RIVER RD + DURHAM DR,[u'T2'],2000249
6886,39.005001,-77.037666,GEORGIA AVE + GRACE CHURCH RD,"[u'J5', u'J5c', u'Q1', u'Q2', u'Q2cv1', u'Q4', u'Y2', u'Y7', u'Y8']",2000250
6887,39.005051,-77.023185,COLESVILLE RD + DALE DR,"[u'Z2v2', u'Z2v4', u'Z2vS', u'Z6', u'Z6v1', u'Z8', u'Z8v1', u'Z8v2', u'Z8v3', u'Z8v4', u'Z8v9']",2000251
6888,39.00508,-76.982017,SOUTHAMPTON DR + AMES RD,[u'K6'],2000252
6889,39.005093,-77.022934,COLESVILLE RD + DALE DR,"[u'Z2v4', u'Z2v5', u'Z2vS', u'Z6', u'Z6c', u'Z8', u'Z8c', u'Z8v1', u'Z8v2', u'Z8v3', u'Z8v9']",2000253
6890,39.005198,-77.110885,OLD GEORGETOWN RD + JOHNSON AVE,"[u'J2', u'J3']",2000255
6891,39.005294,-76.981971,SOUTHAMPTON DR + AMES RD,[u'K6'],2000256
6892,39.005566,-77.038512,GEORGIA AVE + GRACE CHURCH RD,"[u'J5', u'Q1', u'Q2', u'Q2v2', u'Q4', u'Y2', u'Y7', u'Y8']",2000257
6893,39.005875,-76.923507,RHODE ISLAND AVE + FOX ST,[u'83'],3002378
